tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0029876,movie,El fanfarrón: ¡Aquí llegó el valentón!,El fanfarrón: ¡Aquí llegó el valentón!,0,1940,\N,83,"Adventure,Drama,Western"
tt0031348,movie,Frontier Vengeance,Frontier Vengeance,0,1940,\N,58,Western
tt0031870,movie,Roll Wagons Roll,Roll Wagons Roll,0,1940,\N,56,"Drama,Music,Western"
tt0032178,movie,20 Mule Team,20 Mule Team,0,1940,\N,84,Western
tt0032184,movie,Adventures of Red Ryder,Adventures of Red Ryder,0,1940,\N,205,Western
tt0032221,movie,Arizona,Arizona,0,1940,\N,125,"Drama,Western"
tt0032222,movie,Arizona Frontier,Arizona Frontier,0,1940,\N,60,"Drama,Western"
tt0032223,movie,Arizona Gang Busters,Arizona Gang Busters,0,1940,\N,60,Western
tt0032232,movie,Bad Man from Red Butte,Bad Man from Red Butte,0,1940,\N,58,Western
tt0032253,movie,Billy the Kid in Texas,Billy the Kid in Texas,0,1940,\N,52,"Drama,Western"
tt0032259,movie,Blazing Six Shooters,Blazing Six Shooters,0,1940,\N,61,"Drama,Music,Western"
tt0032273,movie,Boom Town,Boom Town,0,1940,\N,119,"Drama,Romance,Western"
tt0032274,movie,The Border Legion,The Border Legion,0,1940,\N,58,"Drama,Music,Western"
tt0032292,movie,Bullet Code,Bullet Code,0,1940,\N,58,Western
tt0032293,movie,Bullets for Rustlers,Bullets for Rustlers,0,1940,\N,58,Western
tt0032311,movie,Carolina Moon,Carolina Moon,0,1940,\N,64,"Drama,Music,Western"
tt0032312,movie,The Carson City Kid,The Carson City Kid,0,1940,\N,57,"Drama,Western"
tt0032327,movie,El charro Negro,El charro Negro,0,1940,\N,70,"Adventure,Drama,Western"
tt0032330,movie,Cherokee Strip,Cherokee Strip,0,1940,\N,86,Western
tt0032332,movie,The Cheyenne Kid,The Cheyenne Kid,0,1940,\N,50,Western
tt0032346,movie,Colorado,Colorado,0,1940,\N,57,Western
tt0032362,movie,Covered Wagon Days,Covered Wagon Days,0,1940,\N,56,Western
tt0032363,movie,Covered Wagon Trails,Covered Wagon Trails,0,1940,\N,52,Western
tt0032364,movie,The Cowboy from Sundown,The Cowboy from Sundown,0,1940,\N,57,Western
tt0032386,movie,Deadwood Dick,Deadwood Dick,0,1940,\N,285,Western
tt0032423,movie,The Durango Kid,The Durango Kid,0,1940,\N,61,Western
tt0032497,movie,Frontier Crusader,Frontier Crusader,0,1940,\N,62,Western
tt0032513,movie,Gaucho Serenade,Gaucho Serenade,0,1940,\N,66,"Drama,Music,Western"
tt0032514,movie,The Gay Caballero,The Gay Caballero,0,1940,\N,58,Western
tt0032522,movie,Ghost Valley Raiders,Ghost Valley Raiders,0,1940,\N,57,"Drama,Western"
tt0032536,movie,Go West,Go West,0,1940,\N,80,"Comedy,Musical,Western"
tt0032540,movie,The Golden Trail,The Golden Trail,0,1940,\N,52,"Drama,Music,Western"
tt0032550,movie,Granny Get Your Gun,Granny Get Your Gun,0,1940,\N,56,"Comedy,Western"
tt0032563,movie,Gun Code,Gun Code,0,1940,\N,54,Western
tt0032590,movie,Hi-Yo Silver,Hi-Yo Silver,0,1940,\N,69,"Drama,Family,Western"
tt0032592,movie,Hidden Gold,Hidden Gold,0,1940,\N,60,Western
tt0032664,movie,The Kid from Santa Fe,The Kid from Santa Fe,0,1940,\N,57,"Drama,Western"
tt0032669,movie,King of the Royal Mounted,King of the Royal Mounted,0,1940,\N,211,"Adventure,Drama,Western"
tt0032670,movie,Kit Carson,Kit Carson,0,1940,\N,97,"Drama,Western"
tt0032689,movie,Land of the Six Guns,Land of the Six Guns,0,1940,\N,54,Western
tt0032694,movie,Law and Order,Law and Order,0,1940,\N,57,Western
tt0032696,movie,Legion of the Lawless,Legion of the Lawless,0,1940,\N,59,Western
tt0032706,movie,The Light of Western Stars,The Light of Western Stars,0,1940,\N,64,"Drama,Western"
tt0032707,movie,Lightning Strikes West,Lightning Strikes West,0,1940,\N,55,Western
tt0032724,movie,Lone Star Raiders,Lone Star Raiders,0,1940,\N,57,"Drama,Western"
tt0032732,movie,Lucky Cisco Kid,Lucky Cisco Kid,0,1940,\N,67,Western
tt0032750,movie,The Man from Tumbleweeds,The Man from Tumbleweeds,0,1940,\N,59,"Drama,Western"
tt0032779,movie,Melody Ranch,Melody Ranch,0,1940,\N,84,Western
tt0032828,movie,My Little Chickadee,My Little Chickadee,0,1940,\N,83,"Comedy,Western"
tt0032850,movie,North West Mounted Police,North West Mounted Police,0,1940,\N,126,"Drama,Romance,Western"
tt0032859,movie,Oklahoma Renegades,Oklahoma Renegades,0,1940,\N,57,Western
tt0032870,movie,One Man's Law,One Man's Law,0,1940,\N,57,Western
tt0032882,movie,Out West with the Peppers,Out West with the Peppers,0,1940,\N,62,"Comedy,Drama,Western"
tt0032885,movie,Pals of the Silver Sage,Pals of the Silver Sage,0,1940,\N,52,Western
tt0032902,movie,Phantom Rancher,Phantom Rancher,0,1940,\N,61,Western
tt0032911,movie,Pinto Canyon,Pinto Canyon,0,1940,\N,55,"Action,Romance,Western"
tt0032912,movie,Pioneer Days,Pioneer Days,0,1940,\N,54,Western
tt0032913,movie,Pioneers of the Frontier,Pioneers of the Frontier,0,1940,\N,58,Western
tt0032914,movie,Pioneers of the West,Pioneers of the West,0,1940,\N,56,"Drama,Western"
tt0032923,movie,Pony Post,Pony Post,0,1940,\N,59,Western
tt0032939,movie,Prairie Law,Prairie Law,0,1940,\N,59,Western
tt0032940,movie,Prairie Schooners,Prairie Schooners,0,1940,\N,58,"Drama,Western"
tt0032959,movie,Queen of the Yukon,Queen of the Yukon,0,1940,\N,73,"Adventure,Drama,Western"
tt0032965,movie,Ragtime Cowboy Joe,Ragtime Cowboy Joe,0,1940,\N,68,"Drama,Music,Western"
tt0032966,movie,Rainbow Over the Range,Rainbow Over the Range,0,1940,\N,60,"Drama,Music,Western"
tt0032970,movie,Rancho Grande,Rancho Grande,0,1940,\N,67,"Drama,Music,Western"
tt0032971,movie,The Range Busters,The Range Busters,0,1940,\N,56,"Drama,Music,Western"
tt0032972,movie,The Ranger and the Lady,The Ranger and the Lady,0,1940,\N,59,"Drama,Romance,Western"
tt0032973,movie,Rangers of Fortune,Rangers of Fortune,0,1940,\N,80,Western
tt0032983,movie,The Return of Frank James,The Return of Frank James,0,1940,\N,92,"Drama,Western"
tt0032984,movie,The Return of Wild Bill,The Return of Wild Bill,0,1940,\N,60,"Drama,Western"
tt0032985,movie,Rhythm of the Rio Grande,Rhythm of the Rio Grande,0,1940,\N,53,"Drama,Music,Western"
tt0032987,movie,"Ride, Tenderfoot, Ride","Ride, Tenderfoot, Ride",0,1940,\N,65,"Drama,Music,Western"
tt0032988,movie,Riders from Nowhere,Riders from Nowhere,0,1940,\N,47,"Drama,Western"
tt0032989,movie,Riders of Black Mountain,Riders of Black Mountain,0,1940,\N,57,Western
tt0032990,movie,Riders of Pasco Basin,Riders of Pasco Basin,0,1940,\N,56,"Drama,Music,Western"
tt0032996,movie,Rocky Mountain Rangers,Rocky Mountain Rangers,0,1940,\N,58,"Drama,Western"
tt0032997,movie,Rollin' Home to Texas,Rollin' Home to Texas,0,1940,\N,63,"Drama,Music,Western"
tt0033010,movie,The Sagebrush Family Trails West,The Sagebrush Family Trails West,0,1940,\N,59,"Action,Comedy,Western"
tt0033020,movie,Santa Fe Marshal,Santa Fe Marshal,0,1940,\N,68,Western
tt0033021,movie,Santa Fe Trail,Santa Fe Trail,0,1940,\N,110,"Drama,War,Western"
tt0033044,movie,Shooting High,Shooting High,0,1940,\N,65,"Drama,Music,Western"
tt0033047,movie,The Showdown,The Showdown,0,1940,\N,65,"Drama,Western"
tt0033077,movie,Son of Roaring Dan,Son of Roaring Dan,0,1940,\N,63,"Drama,Music,Western"
tt0033098,movie,Stage to Chino,Stage to Chino,0,1940,\N,59,Western
tt0033099,movie,Stagecoach War,Stagecoach War,0,1940,\N,63,"Drama,Western"
tt0033132,movie,Take Me Back to Oklahoma,Take Me Back to Oklahoma,0,1940,\N,57,"Drama,Music,Western"
tt0033140,movie,Texas Rangers Ride Again,Texas Rangers Ride Again,0,1940,\N,68,"Drama,Western"
tt0033141,movie,Texas Renegades,Texas Renegades,0,1940,\N,59,Western
tt0033142,movie,Texas Stagecoach,Texas Stagecoach,0,1940,\N,60,Western
tt0033143,movie,Texas Terrors,Texas Terrors,0,1940,\N,57,Western
tt0033160,movie,Three Men from Texas,Three Men from Texas,0,1940,\N,76,Western
tt0033163,movie,Thundering Frontier,Thundering Frontier,0,1940,\N,57,"Drama,Music,Western"
tt0033179,movie,The Trail Blazers,The Trail Blazers,0,1940,\N,58,Western
tt0033180,movie,Trail of the Vigilantes,Trail of the Vigilantes,0,1940,\N,75,"Comedy,Western"
tt0033181,movie,Trailing Double Trouble,Trailing Double Trouble,0,1940,\N,56,"Drama,Music,Western"
tt0033185,movie,Triple Justice,Triple Justice,0,1940,\N,66,"Romance,Western"
tt0033189,movie,The Tulsa Kid,The Tulsa Kid,0,1940,\N,57,"Drama,Western"
tt0033204,movie,Under Texas Skies,Under Texas Skies,0,1940,\N,57,"Drama,Western"
tt0033226,movie,Virginia City,Virginia City,0,1940,\N,121,Western
tt0033227,movie,Viva Cisco Kid,Viva Cisco Kid,0,1940,\N,65,"Action,Romance,Western"
tt0033234,movie,Wagon Train,Wagon Train,0,1940,\N,59,"Drama,Western"
tt0033235,movie,Wagons Westward,Wagons Westward,0,1940,\N,69,Western
tt0033249,movie,West of Abilene,West of Abilene,0,1940,\N,58,"Drama,Music,Western"
tt0033250,movie,West of Carson City,West of Carson City,0,1940,\N,56,"Drama,Western"
tt0033251,movie,West of Pinto Basin,West of Pinto Basin,0,1940,\N,60,"Drama,Music,Western"
tt0033253,movie,The Westerner,The Westerner,0,1940,\N,100,"Drama,Western"
tt0033254,movie,When the Daltons Rode,When the Daltons Rode,0,1940,\N,81,Western
tt0033261,movie,Wild Horse Range,Wild Horse Range,0,1940,\N,58,"Drama,Western"
tt0033262,movie,Wild Horse Valley,Wild Horse Valley,0,1940,\N,55,Western
tt0033269,movie,Winners of the West,Winners of the West,0,1940,\N,247,Western
tt0033276,movie,Wyoming,Wyoming,0,1940,\N,88,"Drama,Western"
tt0033286,movie,Young Bill Hickok,Young Bill Hickok,0,1940,\N,59,"Drama,Music,Western"
tt0033287,movie,Young Buffalo Bill,Young Buffalo Bill,0,1940,\N,59,"Drama,Music,Western"
tt0033313,movie,Across the Sierras,Across the Sierras,0,1941,\N,59,"Drama,Music,Western"
tt0033332,movie,Along the Rio Grande,Along the Rio Grande,0,1941,\N,64,"Drama,Music,Western"
tt0033347,movie,The Apache Kid,The Apache Kid,0,1941,\N,56,Western
tt0033351,movie,Arizona Bound,Arizona Bound,0,1941,\N,57,"Drama,Western"
tt0033352,movie,Arizona Cyclone,Arizona Cyclone,0,1941,\N,59,Western
tt0033366,movie,Back in the Saddle,Back in the Saddle,0,1941,\N,73,"Drama,Music,Western"
tt0033367,movie,Bad Man of Deadwood,Bad Man of Deadwood,0,1941,\N,61,"Drama,Music,Western"
tt0033368,movie,The Bad Man,The Bad Man,0,1941,\N,70,"Drama,Western"
tt0033369,movie,Bad Men of Missouri,Bad Men of Missouri,0,1941,\N,71,Western
tt0033370,movie,Badlands of Dakota,Badlands of Dakota,0,1941,\N,74,Western
tt0033375,movie,The Bandit Trail,The Bandit Trail,0,1941,\N,60,"Drama,Music,Western"
tt0033383,movie,Belle Starr,Belle Starr,0,1941,\N,87,Western
tt0033386,movie,Beyond the Sacramento,Beyond the Sacramento,0,1940,\N,58,Western
tt0033389,movie,Billy the Kid,Billy the Kid,0,1941,\N,94,Western
tt0033390,movie,Billy the Kid Trapped,Billy the Kid Trapped,0,1942,\N,59,Western
tt0033391,movie,Billy the Kid Wanted,Billy the Kid Wanted,0,1941,\N,63,"Drama,Western"
tt0033392,movie,Billy the Kid in Santa Fe,Billy the Kid in Santa Fe,0,1941,\N,61,Western
tt0033393,movie,Billy the Kid's Fighting Pals,Billy the Kid's Fighting Pals,0,1941,\N,59,"Drama,Western"
tt0033394,movie,Billy the Kid's Range War,Billy the Kid's Range War,0,1941,\N,57,"Drama,Western"
tt0033395,movie,Billy the Kid's Round-Up,Billy the Kid's Round-Up,0,1941,\N,60,Western
tt0033425,movie,Border Vigilantes,Border Vigilantes,0,1941,\N,63,Western
tt0033427,movie,Boss of Bullion City,Boss of Bullion City,0,1940,\N,61,Western
tt0033441,movie,Bury Me Not on the Lone Prairie,Bury Me Not on the Lone Prairie,0,1941,\N,61,Western
tt0033478,movie,Come on Danger,Come on Danger,0,1942,\N,59,"Drama,Music,Western"
tt0033495,movie,The Cowboy and the Blonde,The Cowboy and the Blonde,0,1941,\N,68,"Comedy,Western"
tt0033505,movie,Cyclone on Horseback,Cyclone on Horseback,0,1941,\N,60,"Drama,Western"
tt0033521,movie,Death Valley Outlaws,Death Valley Outlaws,0,1941,\N,56,"Drama,Western"
tt0033524,movie,Desert Bandit,Desert Bandit,0,1941,\N,56,Western
tt0033546,movie,Doomed Caravan,Doomed Caravan,0,1941,\N,62,"Drama,Western"
tt0033550,movie,Down Mexico Way,Down Mexico Way,0,1941,\N,77,"Drama,Music,Western"
tt0033559,movie,The Driftin' Kid,The Driftin' Kid,0,1941,\N,57,"Drama,Western"
tt0033560,movie,Dude Cowboy,Dude Cowboy,0,1941,\N,59,"Drama,Music,Western"
tt0033566,movie,Dynamite Canyon,Dynamite Canyon,0,1941,\N,58,"Drama,Western"
tt0033587,movie,The Fargo Kid,The Fargo Kid,0,1940,\N,63,"Drama,Western"
tt0033601,movie,Fighting Bill Fargo,Fighting Bill Fargo,0,1941,\N,57,Western
tt0033619,movie,Forbidden Trails,Forbidden Trails,0,1941,\N,54,Western
tt0033641,movie,Fugitive Valley,Fugitive Valley,0,1941,\N,61,"Drama,Music,Western"
tt0033647,movie,Gangs of Sonora,Gangs of Sonora,0,1941,\N,56,"Drama,Western"
tt0033649,movie,Gauchos of El Dorado,Gauchos of El Dorado,0,1941,\N,56,"Drama,Music,Western"
tt0033683,movie,The Gunman from Bodie,The Gunman from Bodie,0,1941,\N,62,"Drama,Western"
tt0033752,movie,In Old Cheyenne,In Old Cheyenne,0,1941,\N,58,"Drama,Western"
tt0033753,movie,In Old Colorado,In Old Colorado,0,1941,\N,66,"Drama,Western"
tt0033771,movie,Jesse James at Bay,Jesse James at Bay,0,1941,\N,56,"Drama,Music,Western"
tt0033779,movie,Kansas Cyclone,Kansas Cyclone,0,1941,\N,57,"Drama,Western"
tt0033784,movie,The Kid's Last Ride,The Kid's Last Ride,0,1941,\N,55,"Drama,Music,Western"
tt0033785,movie,King of Dodge City,King of Dodge City,0,1941,\N,63,"Drama,Western"
tt0033786,movie,King of the Texas Rangers,King of the Texas Rangers,0,1941,\N,215,"Drama,Western"
tt0033807,movie,The Lady from Cheyenne,The Lady from Cheyenne,0,1941,\N,88,"Comedy,Drama,Western"
tt0033808,movie,Lady from Louisiana,Lady from Louisiana,0,1941,\N,82,"Drama,Romance,Western"
tt0033810,movie,Land of the Open Range,Land of the Open Range,0,1942,\N,60,"Drama,Western"
tt0033817,movie,Last of the Duanes,Last of the Duanes,0,1941,\N,57,"Action,Drama,Western"
tt0033819,movie,Law of the Range,Law of the Range,0,1941,\N,59,Western
tt0033820,movie,Law of the Timber,Law of the Timber,0,1941,\N,64,"Drama,Western"
tt0033841,movie,The Lone Rider Ambushed,The Lone Rider Ambushed,0,1941,\N,63,"Drama,Music,Western"
tt0033842,movie,The Lone Rider Crosses the Rio,The Lone Rider Crosses the Rio,0,1941,\N,63,Western
tt0033843,movie,The Lone Rider Fights Back,The Lone Rider Fights Back,0,1941,\N,64,"Drama,Music,Western"
tt0033844,movie,The Lone Rider Rides On,The Lone Rider Rides On,0,1941,\N,61,"Drama,Music,Western"
tt0033845,movie,The Lone Rider in Frontier Fury,The Lone Rider in Frontier Fury,0,1941,\N,53,"Drama,Music,Western"
tt0033846,movie,The Lone Rider in Ghost Town,The Lone Rider in Ghost Town,0,1941,\N,64,"Drama,Music,Western"
tt0033847,movie,Lone Star Law Men,Lone Star Law Men,0,1941,\N,61,Western
tt0033872,movie,Man from Montana,Man from Montana,0,1941,\N,59,"Drama,Music,Western"
tt0033887,movie,The Masked Rider,The Masked Rider,0,1941,\N,58,"Drama,Music,Western"
tt0033944,movie,Nevada City,Nevada City,0,1941,\N,58,"Drama,Music,Western"
tt0033960,movie,North from the Lone Star,North from the Lone Star,0,1941,\N,58,"Drama,Western"
tt0033984,movie,Oro vil,Oro vil,0,1941,\N,72,Western
tt0033988,movie,Outlaws of Cherokee Trail,Outlaws of Cherokee Trail,0,1941,\N,56,Western
tt0033989,movie,Outlaws of the Desert,Outlaws of the Desert,0,1941,\N,66,"Drama,Western"
tt0033990,movie,Outlaws of the Panhandle,Outlaws of the Panhandle,0,1941,\N,59,"Drama,Music,Western"
tt0033991,movie,Outlaws of the Rio Grande,Outlaws of the Rio Grande,0,1941,\N,63,Western
tt0033995,movie,Pals of the Pecos,Pals of the Pecos,0,1941,\N,56,Western
tt0033996,movie,Panhandle,Panhandle,0,1948,\N,85,Western
tt0034004,movie,The Parson of Panamint,The Parson of Panamint,0,1941,\N,84,"Adventure,Romance,Western"
tt0034020,movie,The Phantom Cowboy,The Phantom Cowboy,0,1941,\N,56,"Drama,Western"
tt0034028,movie,The Pinto Kid,The Pinto Kid,0,1941,\N,61,"Drama,Music,Western"
tt0034029,movie,The Pioneers,The Pioneers,0,1941,\N,58,"Drama,Music,Western"
tt0034030,movie,Pirates on Horseback,Pirates on Horseback,0,1941,\N,69,Western
tt0034057,movie,Prairie Pioneers,Prairie Pioneers,0,1941,\N,58,Western
tt0034059,movie,Prairie Stranger,Prairie Stranger,0,1941,\N,58,Western
tt0034083,movie,Rawhide Rangers,Rawhide Rangers,0,1941,\N,56,Western
tt0034088,movie,Red River Valley,Red River Valley,0,1941,\N,62,"Drama,Music,Western"
tt0034096,movie,The Return of Daniel Boone,The Return of Daniel Boone,0,1941,\N,61,Western
tt0034100,movie,Ride on Vaquero,Ride on Vaquero,0,1941,\N,64,Western
tt0034102,movie,Riders of Death Valley,Riders of Death Valley,0,1941,\N,283,Western
tt0034103,movie,Riders of the Badlands,Riders of the Badlands,0,1941,\N,57,"Drama,Western"
tt0034104,movie,Riders of the Purple Sage,Riders of the Purple Sage,0,1941,\N,54,"Drama,Western"
tt0034105,movie,Riders of the Timberline,Riders of the Timberline,0,1941,\N,59,"Drama,Western"
tt0034106,movie,Ridin' on a Rainbow,Ridin' on a Rainbow,0,1941,\N,79,Western
tt0034107,movie,Ridin' the Cherokee Trail,Ridin' the Cherokee Trail,0,1941,\N,59,"Drama,Music,Western"
tt0034108,movie,Riding the Sunset Trail,Riding the Sunset Trail,0,1941,\N,60,"Drama,Western"
tt0034109,movie,Riding the Wind,Riding the Wind,0,1942,\N,60,"Drama,Western"
tt0034113,movie,River's End,River's End,0,1940,\N,69,"Action,Drama,Western"
tt0034114,movie,Road Agent,Road Agent,0,1941,\N,60,Western
tt0034118,movie,Roaring Frontiers,Roaring Frontiers,0,1941,\N,60,"Drama,Music,Western"
tt0034119,movie,Robbers of the Range,Robbers of the Range,0,1941,\N,61,"Drama,Western"
tt0034120,movie,Robin Hood of the Pecos,Robin Hood of the Pecos,0,1941,\N,59,Western
tt0034123,movie,Rodeo Rhythm,Rodeo Rhythm,0,1942,\N,72,"Drama,Western"
tt0034124,movie,Romance of the Rio Grande,Romance of the Rio Grande,0,1940,\N,72,Western
tt0034133,movie,The Round Up,The Round Up,0,1941,\N,90,Western
tt0034134,movie,The Royal Mounted Patrol,The Royal Mounted Patrol,0,1941,\N,59,Western
tt0034142,movie,Saddlemates,Saddlemates,0,1941,\N,56,Western
tt0034166,movie,Secret of the Wastelands,Secret of the Wastelands,0,1941,\N,66,"Drama,Western"
tt0034183,movie,Sheriff of Tombstone,Sheriff of Tombstone,0,1941,\N,56,"Drama,Western"
tt0034187,movie,Sierra Sue,Sierra Sue,0,1941,\N,64,Western
tt0034189,movie,Silver Stallion,Silver Stallion,0,1941,\N,60,"Drama,Western"
tt0034192,movie,The Singing Hill,The Singing Hill,0,1941,\N,75,"Drama,Music,Western"
tt0034195,movie,Six-Gun Gold,Six-Gun Gold,0,1941,\N,57,Western
tt0034217,movie,The Son of Davy Crockett,The Son of Davy Crockett,0,1941,\N,55,"Drama,Western"
tt0034233,movie,Stick to Your Guns,Stick to Your Guns,0,1941,\N,63,"Drama,Western"
tt0034245,movie,Sunset in Wyoming,Sunset in Wyoming,0,1941,\N,65,"Drama,Music,Western"
tt0034269,movie,Texas,Texas,0,1941,\N,93,Western
tt0034270,movie,The Texas Marshal,The Texas Marshal,0,1941,\N,59,Western
tt0034277,movie,They Died with Their Boots On,They Died with Their Boots On,0,1941,\N,140,"War,Western"
tt0034289,movie,Thunder Over the Prairie,Thunder Over the Prairie,0,1941,\N,60,"Drama,Western"
tt0034290,movie,Thundering Hoofs,Thundering Hoofs,0,1942,\N,61,"Drama,Music,Western"
tt0034300,movie,Tonto Basin Outlaws,Tonto Basin Outlaws,0,1941,\N,60,"Drama,Western"
tt0034309,movie,Trail of the Silver Spurs,Trail of the Silver Spurs,0,1941,\N,57,"Drama,Western"
tt0034315,movie,Tumbledown Ranch in Arizona,Tumbledown Ranch in Arizona,0,1941,\N,60,Western
tt0034320,movie,Twilight on the Trail,Twilight on the Trail,0,1941,\N,57,Western
tt0034324,movie,Two Gun Sheriff,Two Gun Sheriff,0,1941,\N,56,"Drama,Western"
tt0034336,movie,Under Fiesta Stars,Under Fiesta Stars,0,1941,\N,64,"Drama,Music,Western"
tt0034338,movie,Underground Rustlers,Underground Rustlers,0,1941,\N,57,"Drama,Western"
tt0034371,movie,Wanderers of the West,Wanderers of the West,0,1941,\N,58,Western
tt0034382,movie,West of Cimarron,West of Cimarron,0,1941,\N,56,"Drama,Western"
tt0034384,movie,Western Union,Western Union,0,1941,\N,95,"History,Western"
tt0034390,movie,White Eagle,White Eagle,0,1941,\N,290,Western
tt0034391,movie,Wide Open Town,Wide Open Town,0,1941,\N,79,Western
tt0034392,movie,Wild Bill Hickok Rides,Wild Bill Hickok Rides,0,1942,\N,82,Western
tt0034395,movie,The Wildcat of Tucson,The Wildcat of Tucson,0,1940,\N,59,"Drama,Western"
tt0034403,movie,Wrangler's Roost,Wrangler's Roost,0,1941,\N,57,Western
tt0034404,movie,Wyoming Wildcat,Wyoming Wildcat,0,1941,\N,56,"Drama,Western"
tt0034453,movie,Along the Sundown Trail,Along the Sundown Trail,0,1942,\N,57,"Drama,Music,Western"
tt0034455,movie,American Empire,American Empire,0,1942,\N,82,Western
tt0034468,movie,Arizona Roundup,Arizona Round-Up,0,1942,\N,56,Western
tt0034469,movie,Arizona Stage Coach,Arizona Stage Coach,0,1942,\N,58,Western
tt0034470,movie,Arizona Terrors,Arizona Terrors,0,1942,\N,56,"Drama,Western"
tt0034489,movie,Bad Men of the Hills,Bad Men of the Hills,0,1942,\N,58,Western
tt0034494,movie,Bandit Ranger,Bandit Ranger,0,1942,\N,56,"Drama,Music,Western"
tt0034504,movie,Bells of Capistrano,Bells of Capistrano,0,1942,\N,78,"Drama,Music,Western"
tt0034505,movie,Below the Border,Below the Border,0,1942,\N,57,"Drama,Western"
